id,name,notes
184,Bel Aire KS PD,NA
185,Bell Gardens CA PD,NA
186,Bellaire TX PD,NA
187,Belle Isle FL PD,NA
188,Belle Meade TN PD,NA
189,Belle Plaine KS PD,NA
190,Bellefontaine OH PD,NA
191,Belleville WI PD,NA
192,Bellevue Borough PA PD,NA
193,Bellingham MA PD,NA
194,Bellville OH PD,NA
195,Bellwood IL PD,NA
196,Belmont NC PD,NA
197,Belpre OH PD,NA
198,Belton MO PD,NA
199,Belvidere IL PD,NA
200,Bement IL PD,NA
201,Ben Hill County GA SO,NA
202,Benbrook TX PD,NA
203,Benicia CA PD,NA
204,Bensenville IL PD,NA
205,Bentley KS PD,NA
206,Bentleyville OH PD,NA
207,Benton Charter Township Police MI,NA
208,Benton County AR SO,NA
209,Benton County WA SO,NA
210,Benton Harbor Department of Public Safety MI,NA
211,Benton KS PD,NA
212,Berea OH PD,NA
213,Berkeley IL PD,NA
214,Berkeley MO PD,NA
215,Bernardsville NJ PD,NA
216,Berrien County MI SO,NA
217,Berwyn IL PD,NA
218,Bessemer AL PD,NA
219,Bessemer City NC PD,NA
220,Bethel Springs TN PD,NA
221,Beverly Hills CA PD,NA
222,Bibb County AL SO,NA
223,Birmingham AL PD,NA
224,Birmingham MI PD,NA
225,Bixby OK PD,NA
226,Black Mountain NC PD,NA
227,Blackman/Leoni Public Safety MI,NA
228,Blackshear GA PD,NA
229,Blaine Co OK SO,NA
230,Blendon Township OH PD,NA
231,Bloomfield NM PD,NA
232,Bloomington IL PD,NA
233,Bloomington MN PD,NA
234,Blount County TN SO,NA
235,Blountstown FL PD,NA
236,Blue Ash OH PD,NA
237,Blue Island IL PD,NA
238,Blue Mound TX PD,NA
239,Blue Ridge GA PD,NA
240,Blue Springs MO PD,NA
241,Bluffton IN PD,NA
242,BNSF IL PD,NA
243,Boiling Springs NC PD,NA
244,Bolingbrook IL PD,NA
245,Bond County IL SO,NA
246,Bonifay FL PD,NA
247,Boone County AR SO,NA
248,Boone County IL SO,NA
249,Boone County IN SO,NA
250,Boone NC PD,NA
251,Bossier City LA PD,NA
252,Bossier Parish LA SO,NA
253,Boulder City NV PD,NA
254,Boulder CO PD,NA
255,Boulder County CO SO,NA
256,Bourbon County KS SO,NA
257,Bourbonnais IL PD,NA
258,Bowling Green MO PD,NA
259,Boyd TX PD,NA
260,Boynton Beach FL PD,NA
261,Bradenton FL PD,NA
262,Bradford County FL SO,NA
263,Bradley IL PD,NA
264,Braidwood IL PD,NA
265,Brandon MS PD,NA
266,Branson MO PD,NA
267,Braselton GA PD,NA
268,Bratenahl OH PD,NA
269,Brawley CA PD,NA
270,Brazoria County Const Pct 3 (TX),NA
271,Brazoria County Const Pct 4 (TX),NA
272,Brazoria County TX SO,NA
273,Brazos County TX SO,NA
274,Brea CA PD,NA
275,Breckenridge Hills MO PD,NA
276,Brecksville OH PD,NA
277,Bremen GA PD,NA
278,Bremen IN PD,NA
279,Brentwood MO PD,NA
280,Brentwood TN PD,NA
281,Briarwood AL Campus Police,NA
282,Bridgeton MO PD,NA
283,Bridgeview IL PD,NA
284,Bridgewater TWP NJ PD,NA
285,Bridgewater VA PD,NA
286,Brigham City UT PD,NA
287,Brighton AL PD,NA
288,Brimfield Township OH PD,NA
289,Brisbane CA PD,NA
290,Broadview Heights OH PD,NA
291,Broadview IL PD,NA
292,Broken Arrow OK PD,NA
293,Brook Park OH PD,NA
294,Brookfield IL PD,NA
295,Brookfield WI PD,NA
296,Brookhaven GA PD,NA
297,Brookings SD PD,NA
298,Brookland AR PD,NA
299,Brooklyn Center MN PD,NA
300,Brooklyn Heights OH PD,NA
301,Brooklyn OH PD,NA
302,Brookside AL PD,NA
303,Broomfield CO PD,NA
304,Broward County FL SO,NA
305,Brown County SO IN,NA
306,Brown County WI Public Safety,NA
307,Brown County WI SO,NA
308,Brown Deer WI PD,NA
309,Brownsburg IN PD,NA
310,Brownstown IL PD,NA
311,Brownstown Twp PD MI,NA
312,Brownsville TN PD,NA
313,Brunswick County SO - NC,NA
314,Brunswick County VA SO,NA
315,Brunswick Hills OH PD,NA
316,Brunswick OH PD,NA
317,Brusly LA PD,NA
318,Bryan County GA SO,NA
319,Bryan County OK SO,NA
320,Bryan OH PD,NA
321,Bryan TX PD,NA
322,Buckeye AZ PD,NA
323,Buckeye Lake OH PD,NA
324,Buda TX PD,NA
325,Buena Park CA PD,NA
326,Buffalo County NE SO,NA
327,Buffalo Grove IL PD,NA
328,Buford City Schools GA,NA
329,Buford GA Department of Public Safety,NA
330,Bullitt County KY SO,NA
331,Bulverde TX PD,NA
332,Buncombe County NC SO,NA
333,Burbank Airport CA PD,NA
334,Burbank IL PD,NA
335,Burke County GA SO,NA
336,Burke County NC SO,NA
337,Burleson TX PD,NA
338,Burlingame CA PD,NA
339,Burlington County NJ Prosecutor's Office,NA
340,Burlington IA PD,NA
341,Burlington WI PD,NA
342,Burnham IL PD,NA
343,Burns Harbor IN PD,NA
344,Burr Ridge IL PD,NA
345,Burrillville RI PD,NA
346,Burrton KS PD,NA
347,Butler County KS SO,NA
348,Butler County OH SO,NA
349,Butler Township PA PD,NA
350,Butler Township OH PD,NA
351,Butler Village OH PD,NA
352,Butts County GA SO,NA
353,Byhalia MS PD,NA
354,Byrnes Mill MO PD,NA
355,Byron GA PD,NA
356,CA - Napa Valley College Campus,NA
357,Cabarrus County NC SO,NA
358,Cabot AR PD,NA
359,CAC - Capital Region NY,NA
360,CAC - Erie NY,NA
361,CAC - Hudson Valley NY,NA
362,CAC - Mohawk Valley NY,NA
363,CAC - Monroe NY,NA
364,CAC - Niagara Intelligence NY,NA
365,CAC - North Country NY,NA
366,CAC - Southern Tier NY,NA
367,CAC - Suffolk County NY,NA
368,CAC- Central NY,NA
369,Cal Fire,NA
370,Calcasieu Parish SO LA,NA
371,Caldwell County NC SO,NA
372,Caldwell KS PD,NA
373,Caledonia WI PD,NA
374,Calera AL PD,NA
375,Calera OK PD,NA
376,Calhoun County AL SO,NA
377,California City PD CA,NA
378,California Department of Insurance Fraud,NA
379,Calistoga CA PD,NA
380,Callaway County MO SO,NA
381,Calumet City IL PD,NA
382,Calumet County WI SO,NA
383,Calumet Park IL PD,NA
384,Calvert County MD SO,NA
385,Calverton Park MO PD,NA
386,Camanche IA PD,NA
387,Camden AL PD,NA
388,Camden Co MO SO,NA
389,Camden SC PD,NA
390,Cameron County TX SO,NA
391,Cammack Village AR PD,NA
392,Campbell CA PD,NA
393,Campbell OH PD,NA
394,Campton Hills IL PD,NA
395,Canadian County OK SO,NA
396,Caney KS PD,NA
397,Canfield OH PD,NA
398,Canton GA PD,NA
399,Canton OH PD,NA
400,Cape Coral FL PD,NA
401,Cape Girardeau MO PD,NA
402,Capitan NM PD,NA
403,Capitola CA PD,NA
404,Carmel CA PD,NA
405,Carmel IN PD,NA
406,Carnegie Mellon University PA PD,NA
407,Carol Stream IL PD,NA
408,Carolina Beach NC PD,NA
409,Carpentersville IL PD,NA
410,Carroll County GA SO,NA
411,Carrollton GA PD,NA
412,Carrollton TX PD,NA
413,Carter Lake IA PD,NA
414,Carteret County NC SO,NA
415,Cartersville GA PD,NA
416,Carthage MS PD,NA
417,Caruthersville MO PD,NA
418,Cary IL PD,NA
419,Casa Grande AZ PD,NA
420,Case Western Reserve University OH PD,NA
421,Cass County MO SO,NA
422,Casselberry FL PD,NA
423,Castle Rock CO PD,NA
424,Catawba Nation Tribal SC PD,NA
425,Cathedral City CA PD,NA
426,Catoosa OK PD,NA
427,Cedar Hill TX PD,NA
428,Cedar Park TX PD,NA
429,Cedarburg WI PD,NA
430,Cedartown GA PD,NA
431,Center Grove School Police (IN),NA
432,Center Point AL PD,NA
433,Centerville GA PD,NA
434,Centerville OH PD,NA
435,Central LA PD,NA
436,Centralia IL PD,NA
437,Centralia PD (WA),NA
438,Centreville AL PD,NA
439,Chadbourn NC PD,NA
440,Chadron NE PD,NA
441,Chaffey College PD (CA),NA
442,Chagrin Falls OH PD,NA
443,Chagrin Valley Dispatch,NA
444,Chambers County AL SO,NA
445,Chambers County Drug Task Force AL SO,NA
446,Chambers County TX SO,NA
447,Chamblee GA PD,NA
448,Champaign County IL SO,NA
449,Champaign IL PD,NA
450,Chandler AZ PD,NA
451,Channahon IL PD,NA
452,Channelview ISD PD TX,NA
453,Chardon OH PD,NA
454,Charleston County SC SO,NA
455,Charleston IL PD,NA
456,Charleston SC PD,NA
457,Charlestown PD IN,NA
458,Charlotte County FL SO,NA
459,Charlotte Mecklenburg NC PD,NA
460,Chase City VA PD,NA
461,Chase County KS SO,NA
462,Chatham County GA PD,NA
463,Chatham IL PD,NA
464,Chattahoochee FL PD,NA
465,Chattooga County SO (GA),NA
466,Cheektowaga Town NY PD,NA
467,Chelmsford MA PD,NA
468,Chelsea MA PD,NA
469,Cheraw SC PD,NA
470,Cherokee County GA SO,NA
471,Cherokee County KS SO,NA
472,Cherry Valley IL PD,NA
473,Cherryvale KS PD,NA
474,Chesapeake VA PD,NA
475,Chester County SC SO,NA
476,Chester County TN SO,NA
477,Chesterfield County VA PD,NA
478,Chesterfield MO PD,NA
479,Chicago Heights IL PD,NA
480,Chicago IL PD,NA
481,Chicago Ridge IL PD,NA
482,Chillicothe IL PD,NA
483,Chincoteague VA PD,NA
484,Chino PD (CA),NA
485,Chipley FL PD,NA
486,Chippewa County WI SO,NA
487,Chippewa Falls WI PD,NA
488,Choctaw OK PD,NA
489,Christian County MO SO,NA
490,Cibolo TX PD,NA
491,Cicero IL PD,NA
492,Cincinnati/Northern Kentucky Intl Airport PD,NA
493,Citrus Heights CA PD,NA
494,City of Adamsville TN,NA
495,City of Brookfield WI,NA
496,Dixon CA PD,NA
497,City of Franklin VA PD,NA
498,City of Jennings MO PD,NA
499,City of Newman CA PD,NA
500,Newport RI PD,NA
501,City of Oak Ridge North TX PD,NA
502,City of Riverside CA PD,NA
503,City of Sawmills NC,NA
504,Claflin University SC PD,NA
505,Claremont CA PD,NA
506,Claremore OK PD,NA
507,Clarendon Hills IL PD,NA
508,Clark County IN SO,NA
509,Clark-Pleasant Police Department - IN PD,NA
510,Clarke County GA SO,NA
511,Clarkston GA PD,NA
512,Clarksville VA PD,NA
513,Claxton GA PD,NA
514,Clay County FL SO,NA
515,Clay County MO SO,NA
516,Clayton County GA PD,NA
517,Clayton County GA SO,NA
518,Clayton GA PD,NA
519,Clayton MO PD,NA
520,Clayton OH PD,NA
521,Clear Lake WI PD,NA
522,Clearlake CA PD,NA
523,Clearwater FL PD,NA
524,Clearwater KS PD,NA
525,Clemson SC PD,NA
526,Clemson University SC PD,NA
527,Clermont FL PD,NA
528,Cleveland Clinic OH PD,NA
529,Cleveland County NC SO,NA
530,Cleveland County OK SO,NA
531,Cleveland Heights OH PD,NA
532,Cleveland Metro Parks OH PD,NA
533,Cleveland OH Division of Police,NA
534,Cleveland PD GA,NA
535,Cleveland TN PD,NA
536,Clewiston FL PD,NA
537,Clinton Co IA Communications Center,NA
538,Clinton IA PD,NA
539,Clinton IL PD,NA
540,Clinton TN PD,NA
541,Clinton Township OH PD,NA
542,Clintonville WI PD,NA
543,Clive IA PD,NA
544,Clovis CA PD,NA
545,Clyde Hill WA PD,NA
546,CN Railroad IL PD,NA
547,CO - Colorado State Parks,NA
548,CO - Erie PD,NA
549,CO - Fort Collins PD,NA
550,CO - Keenesburg PD,NA
551,CO - Montrose PD,NA
552,CO - Morgan County SO,NA
553,Coal Valley IL PD,NA
554,Cobb County GA DA,NA
555,Cobb County GA PD,NA
556,Cobb County GA SO,NA
557,Cockrell Hill TX PD,NA
558,Coconut Creek FL PD,NA
559,Coffee County GA SO,NA
560,Coffeyville KS PD,NA
561,Cole County MO SO,NA
562,Coles County IL SO,NA
563,College Park GA PD,NA
564,Collegedale TN PD,NA
565,Colleyville PD TX,NA
566,Collier County FL SO,NA
567,Collierville TN PD,NA
568,Collin County TX SO,NA
569,Collinsville IL PD,NA
570,Colma CA PD,NA
571,Colonial Heights VA PD,NA
572,Colorado Springs CO PD,NA
573,Colorado State Patrol,NA
574,Colquitt County GA SO,NA
575,Colton CA PD,NA
576,Columbia County FL SO,NA
577,Columbia County GA SO,NA
578,Columbia County WI SO,NA
579,Columbia TN PD,NA
580,Columbus GA PD,NA
581,Columbus IN PD,NA
582,Columbus NC PD,NA
583,Columbus OH PD,NA
584,Columbus WI PD,NA
585,Colwich KS PD,NA
586,Comal County TX SO,NA
587,Concord CA PD,NA
588,Concord NC PD,NA
589,Conneaut OH PD,NA
590,Connersville IN PD,NA
591,Conover NC PD,NA
592,Conroe TX PD,NA
593,Contra Costa County CA SO,NA
594,Converse TX PD,NA
595,Conway SC PD,NA
596,Conyers GA PD,NA
597,Cook County IL Sheriff's PD,NA
598,Cook County States Attorney's Office IL PD,NA
599,Cookeville TN PD,NA
