id,name,type,city,county,notes,company,cams_confirmed,cams_portal,flock_portal_url,document_url
1270,Iredell County NC SO,SO,Statesville,Iredell,"Confirmed by dept.; Has agreement, but no cameras purchased as of 3/19",Flock,0,NA,NA,
3040,University of North Carolina at Asheville NC PD,UNC PD,Asheville,Buncombe,Confirmed by dept.; MOU with Flock for testing,Flock,0,NA,NA,
1483,Lincoln County NC SO,SO,Lincolnton,Lincoln,Confirmed by dept.; MOU with Flock to access Flock HOA cams,Flock,0,NA,NA,https://www.documentcloud.org/documents/24487994-lincoln-co-so-lpr-request-letter_redacted
2639,Wake County NC ABC,ABC,Raleigh,Wake,Confirmed by dept.; MOU with Flock to access other cams,Flock,0,NA,NA,
336,Burke County NC SO,SO,Morganton,Burke,Confirmed by dept.; MOU with Flock to access other cams,Flock,0,NA,NA,
624,Cramerton NC PD,PD,Cramerton,Gaston,Confirmed by dept.; MOU with Flock to access other cams,Flock,0,NA,NA,
2866,Johnston County NC SO,SO,Smithfield,Johnston,Confirmed by dept.; MOU with Flock to access other cams,Flock,0,NA,NA,
582,Columbus NC PD,PD,Columbus,Polk,Confirmed by dept.; Portal discrepancy,Flock,2,3,https://transparency.flocksafety.com/columbus-nc-pd,
966,Fuquay Varina NC PD,PD,Fuquay-Varina,Wake,Confirmed by dept.; Portal discrepancy - 1 is a test model,Flock,10,11,https://transparency.flocksafety.com/nc-fuquay-varina-pd,
1075,Greensboro NC PD,PD,Greensboro,Guilford,"Confirmed by dept.; Portal discrepancy - 25 originally through Axon, but dropped to 15",Flock,15,25,https://transparency.flocksafety.com/greensboro-nc-pd,
196,Belmont NC PD,PD,Belmont,Gaston,Confirmed by dept.; Portal discrepancy - agency confirms 2,Flock,2,3,https://transparency.flocksafety.com/belmont-nc-pd,
2841,UNC at Greensboro NC PD,UNC PD,Greensboro,Guilford,Confirmed by dept.,Rekor,18,NA,NA,
2063,Pineville NC PD,PD,Pineville,Mecklenburg,"Confirmed by dept.; Portal discrepancy - per chief on 4/30, has 7 fixed and 13 mobile",Flock,7,8,https://transparency.flocksafety.com/pineville-NC-PD,
1742,Mooresville NC PD,PD,Mooresville,Iredell,Confirmed by dept.; Portal discrepancy - several cameras temporarily offline due to road construction,Flock,48,48,https://transparency.flocksafety.com/mooresville-nc-pd,
2398,St Pauls NC PD,PD,St Pauls,Robeson,"Confirmed by dept.; Portal discrepany - 6 originally planned, but 2 had ROW issues",Flock,4,6,https://transparency.flocksafety.com/st-pauls-nc-pd,
2677,Waxhaw NC PD,PD,Waxhaw,Union,"Confirmed by dept.; Portal discrepany - 6 originally planned, but 2 had ROW issues",Flock,4,6,https://transparency.flocksafety.com/waxhaw-nc-pd,
945,Franklinton NC PD,PD,Franklinton,Franklin,Confirmed by dept.; Previously had 9 cameras but discontinued use due to budget constraints,Flock,0,0,https://transparency.flocksafety.com/franklinton-nc-pd,
1621,Mebane NC PD,PD,Mebane,Alamance,"Confirmed by dept.; testing ""small number"" of cameras",Flock,Unknown,NA,NA,
1206,Hoke County NC SO,SO,Raeford,Hoke,Confirmed by portal,Flock,3,3,https://transparency.flocksafety.com/hoke-county-nc-so,
1794,Nashville NC PD,PD,Nashville,Nash,Confirmed by portal,Flock,3,3,https://transparency.flocksafety.com/nashville-nc-pd-,
3034,Pittsboro NC PD,PD,Pittsboro,Chatham,Confirmed by portal,Flock,5,5,https://transparency.flocksafety.com/pittsboro-nc-pd,
2231,Roxboro NC PD,PD,Roxboro,Person,Confirmed by portal,Flock,6,6,https://transparency.flocksafety.com/roxboro-nc-pd,
459,Charlotte Mecklenburg NC PD,PD,Charlotte,Mecklenburg,NDI per contract; Dept confirmed MOU with Flock to access other cams,NDI,115,NA,NA,https://www.documentcloud.org/documents/24165259-charlotte-ndi-alpr-contract_redacted-june-6-2017
3037,Elizabeth City State University NC PD,UNC PD,Elizabeth City,Pasquotank,Confirmed by dept.,Verkada,Unknown,NA,NA,
1372,Kinston NC PD,PD,Kinston,Lenoir,Confirmed by dept.,Rekor,Unknown,NA,NA,
2829,Fayetteville NC PD,PD,Fayetteville,Cumberland,Confirmed by dept.,Rekor,Unknown,NA,NA,
2830,Madison County NC SO,SO,Marshall,Madison,Confirmed by SBI letter,Rekor,Unknown,NA,NA,https://www.documentcloud.org/documents/24490226-ncic-madison-co-so-undated
2834,Plymouth NC PD,PD,Plymouth,Washington,Confirmed by SBI letter,Rekor,Unknown,NA,NA,https://www.documentcloud.org/documents/24490230-ncic-plymouth-pd-282022
2835,Rockingham NC PD,PD,Rockingham,Richmond,Confirmed by SBI letter,Rekor,Unknown,NA,NA,https://www.documentcloud.org/documents/24490231-nici-rockingham-pd-852021
2890,Holly Springs NC PD,PD,Holly Springs,Wake,"Confirmed by dept.; Cameras installed as of 4/30, number not specified",Motorola,Unknown,NA,NA,
2827,Clinton NC PD,PD,Clinton,Sampson,Confirmed by dept.,Motorola,Unknown,NA,NA,
2840,Sampson County NC SO,SO,Clinton,Sampson,Confirmed by dept.,Motorola,Unknown,NA,NA,
2832,NC DMV License & Theft,State,Raleigh,Wake,Confirmed by dept.,Leonardo,Unknown,NA,NA,
2850,High Point NC PD,PD,High Point,Guilford,Confirmed by dept.,Leonardo,Unknown,NA,NA,
219,Bessemer City NC PD,PD,Bessemer City,Gaston,Confirmed by portal,Flock,9,9,https://transparency.flocksafety.com/bessemer-city-nc-pd,
529,Cleveland County NC SO,SO,Shelby,Cleveland,Confirmed by portal,Flock,14,14,https://transparency.flocksafety.com/cleveland-county-so-,
3267,Polkton NC PD,PD,Polkton,Anson,Confirmed by portal; Confirmed by SBI letter,Flock,1,1,https://transparency.flocksafety.com/polkton-nc-pd,https://www.documentcloud.org/documents/24490238-ncic-polkton-pd-undated
2514,Town of Connelley Springs NC,PD,Connelley Springs,Burke,Confirmed by portal; Portal notes partnership with Burke Co Sheriff,Flock,3,3,https://transparency.flocksafety.com/town-of-connelley-springs-nc,
2234,Rutherford County NC SO,SO,Rutherfordton,Rutherford,Confirmed by SBI letter,Flock,Unknown,NA,NA,https://www.documentcloud.org/documents/24489795-rutherford-co-so-lpr-request-letter_redacted
2825,Caswell County NC SO,SO,Yanceyville,Caswell,Confirmed by SBI letter,Flock,Unknown,NA,NA,https://www.documentcloud.org/documents/24490208-ncic-caswell-co-so-10182019
2867,Dare County NC SO,SO,Manteo,Dare,Confirmed by SBI letter,Flock,Unknown,NA,NA,https://www.documentcloud.org/documents/24490235-ncic-dare-co-so-982023
1759,Mount Airy NC PD,PD,Mount Airy,Surry,Confirmed by SBI letter used Flock as demo,Flock,Unknown,NA,NA,https://www.documentcloud.org/documents/24488005-mount-airy-pd-lpr-request-letter_redacted
2027,Pembroke NC PD,PD,Pembroke,Robeson,Confirmed by SBI letter used Flock as demo,Flock,Unknown,NA,NA,https://www.documentcloud.org/documents/24490310-nici-pembroke-pd-undated
2516,Town of Rutherford College (NC),PD,Rutherford College,Burke,"Confirmed use by municipality, not LEO",Flock,2,NA,NA,
2784,Winston Salem State University NC PD,UNC PD,Winston-Salem,Forsyth,Declined to provide details on camera count; denied release of contract,Flock,Unknown,NA,NA,
805,Elon University NC PD,Private PD,Elon,Alamance,Dept. declined to confirm; Confirmed by SBI letter,Flock,Unknown,NA,NA,https://www.documentcloud.org/documents/24490294-ncic-elon-univ-campus-pd-582023
1117,Hamlet PD (NC),PD,Hamlet,Richmond,"Per dept on 8/14, demoed Flock for months; Portal shows activity in April 2024",Flock,2,2,https://transparency.flocksafety.com/hamlet-pd-,
