id,agency,updated,accessed,url,data_retention_in_days,number_of_owned_cameras,external_organizations_with_access,hotlists_alerted_on,vehicles_detected_in_the_last_30_days,hotlist_hits_in_the_last_30_days,searches_in_the_last_30_days,public_search_audit
460,Chase City VA PD,2024-04-26T12:17:27Z,2024-04-26T17:28:14Z,https://transparency.flocksafety.com/chase-city-va-pd,30 days,1,NA,"NCIC, NCMEC Amber Alert",21944,1,NA,0
739,Dublin VA PD,2024-04-26T11:34:27Z,2024-04-26T17:28:16Z,https://transparency.flocksafety.com/dublin-va-pd,30 days,4,"Accomack County VA SO, Adrian MI PD, Akron OH PD, Alexandria City VA SO, Alexandria VA PD, Altoona IA PD, Amberley Village OH PD, Amelia County VA SO, Amherst County VA SO, Anderson PD IN, Arlington County VA PD, ATF Nashville TN, Augusta County VA SO, Avon IN PD, AZ - Department of Public Safety, Baldwin County GA SO, Baytown TX PD, Belmont NC PD, Blacksburg VA PD, Bloomfield NM PD, Bridgewater VA PD, Brunswick County VA SO, Calhoun County AL SO, Caroline County VA SO, Catawba County NC SO, Chambers County AL SO, Chatsworth GA PD, Chesapeake VA PD , Chesterfield County VA PD, City of Franklin VA PD, Clarksville VA PD, Clearwater FL PD, Cobb County GA PD, Collier County FL SO, Culpeper VA PD , Cumberland County VA SO, Davidson NC PD, Davie County NC SO, Dinwiddie County VA SO, Emporia VA PD , Fairfax County VA PD, Farmville VA PD, Florence KY PD, Floyd County VA SO, Fort Worth TX PD , Gallia County OH SO, Goochland County VA SO, Hampton VA PD, Hanover County VA SO, Hardin County TN SO, Harrisonburg VA PD, Henrico County VA PD, Henry County VA SO, Herndon VA PD, Hopewell VA PD, Houston TX PD, Huntersville PD NC, Huntsville AL PD, Iredell County NC SO, Isle Of Wight County VA SO, Jefferson County MO SO, Kernersville NC PD, King and Queen County VA SO, Lancaster County SC SO , Lawrenceville VA PD, Loudoun County VA SO, Louisville Metro KY PD, Mahoning Twp PA PD, Marion County WV SO, Martinsville VA PD, Matteson IL PD, Mint Hill NC PD, Missouri State Highway Patrol, Monroe GA PD, Montgomery County VA SO, Mount Holly NC PD, Mount Jackson VA PD, Mount Vernon IN PD, Murfreesboro TN PD, Nags Head NC PD, Navajo County AZ SO, New Castle County DE PD, New Kent County VA SO, New York State Police NY, Norwood OH PD, Orange County FL SO, Peotone IL PD , Pittsboro IN PD, Powhatan County VA SO, Prince George County VA PD, Pulaski County VA SO, Pulaski VA PD, Radford City VA PD, Radford University VA PD, Rich Creek VA PD, Richmond VA PD, Roanoke VA PD, Rock Hill SC PD, Rural Retreat VA PD, Sarasota FL PD, Shenandoah County VA SO, South Hill VA PD, Stafford County VA SO , Sterling Heights MI PD, Suffolk VA PD, Sumner County TN SO, Surry County SO VA, Thornton CO PD, Ulysses KS PD, Union County NC SO, University of North Carolina Charlotte (NC), US Postal Inspection Service, Venice FL PD, Virginia Tech University VA PD, Westmoreland County VA SO, Wilkinson County GA SO, Williamsburg VA PD, Woodstock VA PD, Wythe County VA SO, Wytheville VA PD, York County VA SO","NCIC, NCMEC Amber Alert, FBI National Hotlist",67108,8,4,1
2286,Sarpy County NE SO,2024-04-26T12:46:23Z,2024-04-26T17:28:18Z,https://transparency.flocksafety.com/sarpy-county-ne-so,30 days,15,"Altoona IA PD, Amberley Village OH PD, Ankeny IA PD, Anna TX PD, Anoka County MN SO, Avon CO PD, Avon IN PD, Brookings SD PD, Buchanan County MO SO, Butler County OH SO, Butler Township OH PD, Byron GA PD , Carmel IN PD, Carter Lake IA PD, Chanute KS PD, Chesterfield County VA PD, Chesterton IN PD , Chillicothe IL PD , Clarksville VA PD, Coffeyville KS PD, Council Bluffs IA PD, Crestwood MO PD, Dallas TX PD, De Pere WI PD, Douglas County NE SO, Dubuque IA PD, Etowah County AL SO, Firestone CO PD, Floyd County IN SO, Fort Worth TX PD , Grand Island NE PD, Hall County NE SO, Hanover Park IL PD , Hardin County TN SO, Hazel Park MI PD, Henderson KY PD, Houston TX PD, Huntsville AL PD, Inactive, Indiana State Police IN PD, Indianola IA PD, Jefferson County MO SO, Junction City KS PD, Justice IL PD, Kansas KBI, Kansas Wildlife and Parks, Kearney NE PD, Lee County GA SO, Lexington NE PD, Logan County NE SO, Marion AR PD, Marshalltown IA PD, Missouri State Highway Patrol, MOCIC , Mount Vernon IN PD, Murfreesboro TN PD, Neosho County KS SO, Ness County KS SO, New York State Police NY, North Platte NE PD, Norwood OH PD, O'Fallon MO PD, Oak Creek WI PD, Oklahoma State Bureau of Investigations, Otoe County NE SO, Ottawa IL PD, Overland Park KS PD, Oxford MS PD, Park Hills MO PD, Pemiscot County MO SO, Perry County MO SO, Pleasant Hill IA PD, Plover WI PD, Prescott AZ PD, Richmond VA PD, Rock County WI SO, Rock Hill SC PD, Salina KS PD, Sarasota County FL SO, Sarasota FL PD, Sauk Prairie WI PD, Sauk Village IL PD, Scarborough ME PD, Sioux City IA PD, South Sioux City NE PD , Springfield MO PD, St. Joseph MO PD, Sterling Heights MI PD, Stevens Point WI PD, Tarpon Springs FL PD, Texas Financial Crimes Intelligence Center, Thornton CO PD, Tooele City PD UT, Tulsa OK PD, Tuscaloosa AL PD, US Postal Inspection Service, Vacaville CA PD, Vandalia OH PD, Waukee IA PD, Waukesha WI PD, West Des Moines IA PD, Wichita Falls TX PD , Windsor CO PD, Woodstock GA PD, Wyoming OH PD","NCIC, NCMEC Amber Alert",261047,Data Unavailable,229,0
2300,Scottsbluff NE PD,2024-04-26T11:57:28Z,2024-04-26T17:28:20Z,https://transparency.flocksafety.com/scottsbluff-ne-pd,30 days,5,"Columbus NE PD, Grand Island NE PD, Hall County NE SO, Logan County NE SO, North Platte NE PD, Otoe County NE SO, Sarpy County NE SO, Scottsbluff Co Consolidated Comm Ctr NE, South Sioux City NE PD , University of Iowa PD (IA)","NCIC, NCMEC Amber Alert",58347,112,1,1
2655,Warsaw NC PD,2024-04-26T12:24:26Z,2024-04-26T17:28:22Z,https://transparency.flocksafety.com/warsaw-nc-pd,NA,NA,NA,NA,NA,NA,NA,0
3267,Polkton NC PD,2024-04-26T12:16:27Z,2024-04-26T17:28:24Z,https://transparency.flocksafety.com/polkton-nc-pd,30 days,1,"Ahoskie NC PD, Apex NC PD, Bessemer City NC PD, Black Mountain NC PD, Blacksburg VA PD, Boone NC PD, Buncombe County NC SO, Burke County NC SO, Caldwell County NC SO, Carolina Beach NC PD , Catawba County NC SO, Columbus County NC SO, Conover NC PD, Cramerton NC PD, Craven County ABC Board (NC), Dare County NC SO, Davidson NC PD, Davie County NC SO, Dunn NC PD, Edgecombe County NC SO, Fairmont NC PD, Franklin County NC SO, Fuquay-Varina NC PD, Gaston County NC PD, Gastonia NC PD, Gibsonville NC PD, Greensboro NC PD, Henry County VA SO, Houston TX PD, Huntersville PD NC, Iredell County NC SO, Jackson County NC SO, Johnston County NC SO, Kernersville NC PD, Kings Mountain NC PD, Knightdale NC PD, Lancaster County SC SO , Louisburg NC PD, Mint Hill NC PD, Monroe NC PD, Montgomery County VA SO, Mooresville NC PD, Mount Holly NC PD, Nags Head NC PD, Nash County NC SO, Nashville NC PD , NC - Rowan County SO - Insight Omnia, North Charleston SC PD, Pembroke NC PD, Pineville NC PD, Pittsboro NC PD, Polk County NC SO, Public Service Authority, Santee Cooper Law Enforcement Division (SC), Pulaski County VA SO, Pulaski VA PD, Radford University VA PD, Richmond County NC SO, Roanoke Rapids NC PD, Roanoke VA PD, Robeson County NC SO, Rocky Mount NC PD, Southern Pines NC PD, Statesville NC PD, Sumter County SC SO, Town of Connelly Springs/Burke Co Sheriff's Office (BCSO) NC, Town of Hildebran (NC), Town of Rutherford College (NC), Union County NC SO, University of North Carolina at Pembroke NC PD, University of North Carolina Charlotte (NC), US Postal Inspection Service, Vance County NC SO, Wadesboro NC PD, Wake Forest NC PD, WakeMed Campus PD and Public Safety (NC), Warsaw NC PD, Waxhaw NC PD, Whiteville NC PD, Wilson NC PD, Yancey County NC SO","NCIC, NCMEC Amber Alert",50720,6,3,1
3321,Culver City CA PD,2024-04-26T12:55:17Z,2024-04-26T17:28:26Z,https://transparency.flocksafety.com/culver-city-ca-pd,30 days,52,"Alameda County CA SO, Amador County CA Sheriff's Office, Anaheim CA PD, Anderson CA PD, Arcadia CA PD, Azusa CA PD, Bakersfield CA PD, Bell Gardens CA PD, Beverly Hills CA PD, Brawley CA PD, Burbank Airport CA PD, Burbank CA PD, Butte County SO, Cal State Fullerton (CA), California Highway Patrol, California State Parks - Inland Empire, Campbell CA PD, Capitola CA PD, Carlsbad CA PD, Cathedral City CA PD, Chino PD (CA), Chula Vista CA PD, Citrus Heights CA PD, City of Riverside CA PD , Clovis CA PD, Colma CA PD, Colton CA PD , Contra Costa County CA SO, Corona CA PD, Costa Mesa CA PD, Covina CA PD, Danville CA PD, Delano CA PD, Desert Hot Springs CA PD, Dixon CA PD, Dublin CA PD (ACSO), El Cajon CA PD, El Centro CA PD, El Cerrito CA PD, Elk Grove CA PD, Emeryville CA PD, Fairfield CA PD, Folsom CA PD, Fort Bragg CA PD, Foster City CA PD, Fowler CA PD, Fullerton CA PD, Galt CA PD, Garden Grove CA PD, Gilroy CA PD, Glendale CA PD, Glendora (CA) PD, Grover Beach CA PD, Hanford CA PD, Hawthorne CA PD, Hayward CA PD, Hemet CA PD , Hercules CA PD, Hermosa Beach PD CA, Hollister CA PD, Huntington Beach CA PD, Imperial County CA SO, Indio CA PD, Irvine CA PD, Kern County CA SO , La Habra CA PD, La Mesa CA PD, La Verne CA PD, Laguna Beach CA PD, Lake County CA SO, LASD CA - San Dimas Station, Lincoln CA PD, Livermore CA PD, Lompoc CA PD, Los Alamitos PD CA, Los Angeles CA PD, Los Angeles County CA SD, Los Angeles Port Police CA, Los Gatos Monte Sereno PD - CA, Manteca CA PD, Merced County CA SO, Milpitas CA PD, Montclair CA PD, Monterey Park CA PD, Morgan Hill CA PD, Murrieta CA PD, Napa CA PD, Napa County CA SO, National City CA PD, NCRIC, Nevada City CA PD, Newark CA PD , Newport Beach PD CA, Novato CA PD, Oakley CA PD, OC Sheriff CA, Oceanside CA PD, Ontario CA PD, Orange County (CA) DA Office , Orange PD CA, Oxnard CA PD , Pacific Grove CA PD, Palm Springs CA PD, Palo Alto CA PD, Pasadena CA PD, Petaluma CA PD, Placentia CA PD, Placer County CA SO, Pleasanton CA PD, Porterville CA PD, Redondo Beach CA PD, Redwood City CA PD, Reedley CA PD, Rio Hondo College PD CA, Rio Vista CA PD, Riverside County CA District Attorney, Riverside County CA SD, Salinas CA PD, San Bernardino County CA SO, San Bruno CA PD, San Diego CA PD, San Francisco CA PD, San Joaquin County CA SO, San Luis Obispo CA PD , San Luis Obispo County (CA) Sheriff , San Mateo CA PD, San Mateo County CA SO, Santa Barbara County CA SO, Santa Clara CA PD, Santa Monica CA PD, Santa Rosa CA PD, Seal Beach CA PD , Seaside CA PD, Sequoias Community College District CA PD, Simi Valley CA PD, Solano County CA SO, Sonoma County CA SO, South Pasadena CA PD, Stockton CA PD, Suisun City CA PD , Tehachapi CA PD, Tracy CA PD, Truckee CA PD, Tustin CA PD , UC Irvine Campus PD CA, Ukiah CA PD, Union City CA PD, Upland CA PD , Vacaville CA PD, Vallejo CA PD, Ventura CA PD, Ventura County CA SO, Vernon CA PD, Watsonville CA PD, West Covina CA PD, West Valley Mission College Dist Campus (CA), Westminster CA PD, Woodlake CA PD, Woodland CA PD, Yuba County Sheriffs Office","California SVS, NCMEC Amber Alert",1566287,9214,311,0
3326,Watsonville CA PD,2024-04-26T12:40:36Z,2024-04-26T17:28:27Z,https://transparency.flocksafety.com/watsonville-ca-pd,30 days,20,NA,NA,266665,182,102,0
3342,Woodstock VA PD,2024-04-26T12:13:28Z,2024-04-26T17:28:29Z,https://transparency.flocksafety.com/woodstock-va-pd,30 days,10,"Accomack County VA SO, Alexandria City VA SO, Alexandria VA PD, Amberley Village OH PD, Amelia County VA SO, Amherst County VA SO, Arlington County VA PD, ATF Nashville TN, Augusta County VA SO, Beaumont TX PD, Bedford County VA SO, Branson MO PD, Bridgewater VA PD, Brunswick County VA SO, Buncombe County NC SO, Butler County OH SO, Butler Township OH PD, Caroline County VA SO, Chase City VA PD, Chesapeake VA PD , Chesterfield County VA PD, Chincoteague VA PD, City of Franklin VA PD, Clarksville VA PD, Clayton County GA PD, Cleveland Heights OH PD, Clinton Township NJ PD, Coffeyville KS PD, Colonial Beach VA PD, Colonial Heights VA PD, Cranston RI PD, Culpeper VA PD , Cumberland County VA SO, Dinwiddie County VA SO, Dublin VA PD, El Cajon CA PD, Elizabethton TN PD, Elizabethtown KY PD, Emporia VA PD , Escambia County FL SO, Fairfax City VA PD, Fairfax County VA PD, Farmville VA PD, Fauquier County VA SO, Floyd County VA SO, Franklin Township PA PD, Freeport ME PD, Fulton County GA PD, George Mason University Campus VA PD, Gloucester County VA SO, Goochland County VA SO, Greensville County VA SO, Hampton VA PD, Hanover County VA SO, Hardin County TN SO, Harrisonburg VA PD, Hempstead Village NY PD, Henderson KY PD, Henrico County VA PD, Henry County VA SO, Herndon VA PD, Hopewell VA PD, Indiana State Police IN PD, Isle Of Wight County VA SO, James City County VA PD, Jasper AL PD, Jefferson County MO SO, Justice IL PD, King and Queen County VA SO, King George County VA SO, Lawrenceville VA PD, Loudoun County VA SO, Louisville Metro KY PD, Madison County GA SO, Mahoning Twp PA PD, Marion AR PD, Martinsville VA PD, Mecklenburg County VA SO, Middletown RI PD, Missouri State Highway Patrol, Montgomery County VA SO, Mount Jackson VA PD, Mount Vernon IN PD, Nags Head NC PD, Nassau County NY PD, New Castle PA PD, New Kent County VA SO, New Market VA PD, New York State Police NY, Newport News VA PD, Norfolk VA PD, Northampton County VA SO, Norwood OH PD, Oklahoma State Bureau of Investigations, Onondaga County NY SO , Ottawa IL PD, Page County VA SO, Pearisburg VA PD, Pelham AL PD, Petersburg VA PD, Pittsboro IN PD, Poquoson VA PD, Portsmouth VA PD, Powhatan County VA SO, Prince George County VA PD, Pulaski County VA SO, Pulaski VA PD, Radford City VA PD, Radford University VA PD, Regent University VA PD, Rich Creek VA PD, Richmond VA PD, Roanoke VA PD, Rockingham County VA SO, Sarasota FL PD, Sauk Prairie WI PD, Scarborough ME PD, Shenandoah County VA SO, Smithfield VA PD, South Boston VA PD, South Hill VA PD, Southampton VA SO, Springfield MO PD, Stafford County VA SO , Sterling Heights MI PD, Stevens Point WI PD, Suffolk VA PD, Surry County SO VA, Sussex County VA SO, Tarpon Springs FL PD, Texas Financial Crimes Intelligence Center, Thornton CO PD, US Postal Inspection Service, VA - Norfolk Housing Authority, Vacaville CA PD, Virginia Beach VA PD, Virginia Tech University VA PD, West Chester OH PD, West Terre Haute IN PD, Wichita Falls TX PD , Williamsburg VA PD, Windsor VA PD, Wyoming OH PD, Wythe County VA SO, Wytheville VA PD, York County VA SO","NCIC, NCMEC Amber Alert",118290,317,NA,0
3349,Jupiter Inlet Colony FL PD,2024-04-26T11:00:21Z,2024-04-26T17:28:30Z,https://transparency.flocksafety.com/jupiter-inlet-colony-fl-pd,30 days,2,"Alachua County FL SO, Alachua FL PD, Altamonte Springs FL PD, Apopka FL PD, Atlantis FL PD, Bartow FL PD, Bay County FL SO, Bay Harbor Island FL PD, Belle Isle FL PD, Blountstown FL PD, Bonifay FL PD, Boynton Beach FL PD, Bradenton FL PD, Bradford County FL SO, Brigham City UT PD, Broward County FL SO, Cape Coral FL PD, Casselberry FL PD, Charlotte County FL SO, Chattahoochee FL PD, Chipley FL PD, Clay County FL SO, Clearwater FL PD, Clewiston FL PD, Cocoa Beach FL PD, Coconut Creek FL PD, Collier County FL SO, Columbia County FL SO, Coral Springs FL PD, Crestview Fl PD, Davenport FL PD, Davie FL PD, Daytona Beach FL PD, Daytona Beach Shores FL PD, Defuniak Springs FL PD, DeLand FL PD, Delray Beach FL PD, Department of Natural Resources - GA, Doral FL PD, Eatonville FL PD, Edgewater FL PD, Edgewood FL PD, Escambia County FL SO, Eustis FL PD, Fellsmere FL PD, Fernandina Beach FL PD, Fish and Wildlife Commission FL PD, Flagler County FL SO, Florida Atlantic University FL PD, Florida City FL PD, Florida Office of Agriculture Law Enforcement, Florida Polytechnic University FL PD, Fort Lauderdale FL PD , Fort Pierce FL PD, Fort Walton Beach FL PD, Franklin County FL SO, Gainesville FL PD, Glades County FL SO, Green Cove Springs FL PD, Groveland FL PD, Gulf County FL SO, Gulf Stream FL PD, Gulfport FL PD, Haines City FL PD, Hardee County FL SO, Hendry County FL SO, Hernando County FL SO, Highland Beach FL PD, Holly Hill FL PD, Hollywood FL PD, Holmes County FL SO, Homestead FL PD, Indialantic FL PD, Indian Harbour Beach FL PD, Indian River County FL SO, Indian River Shores FL PD, Jackson County FL SO, Jacksonville FL SO, Jefferson County FL SO, Juno Beach FL PD, Jupiter FL PD, LaFayette County FL SO, Lake Alfred FL PD, Lake City FL PD, Lake Clarke Shores FL PD, Lake County FL SO, Lake Hamilton FL PD, Lake Mary FL PD, Lake Wales FL PD, Lakeland FL PD, Lantana FL PD, Largo FL PD, Lee County FL SO, Leon County FL SO, Liberty County FL SO, Lighthouse Point FL PD, Live Oak FL PD, Longboat Key FL PD, Lynn Haven FL PD, Maitland FL PD, Manatee County FL SO, Margate FL PD, Marianna FL PD, Martin County FL SO, Melbourne Beach FL PD, Melbourne FL PD, Miami Dade (Duplicate, don't use), Miami FL PD, Miami Gardens FL PD, Miami-Dade FL PD, Midway FL PD, Miramar FL PD, Monroe County FL SO, Mount Dora FL PD, Nassau County FL SO, Neptune Beach FL PD, New College of FL PD, New Smyrna Beach FL PD, Niceville FL PD, North Miami FL PD, North Palm Beach FL PD, North Port FL PD, Ocala FL PD , Ocean Ridge FL PD, Ocoee FL PD, Okaloosa County FL SO, Okeechobee County FL SO, Okeechobee FL PD, Opa Locka FL PD, Orange City FL PD, Orange County FL SO, Orange Park FL PD, Orlando FL PD, Osceola County FL SO, Oviedo FL PD, Palatka FL PD, Palm Bay FL PD, Palm Beach County FL SO, Palm Beach FL PD, Palm Beach Gardens FL PD, Panama City Airport FL PD, Panama City Beach FL PD, Panama City FL PD, Pasco County FL SO, Pembroke Pines FL PD, Pensacola FL PD, Pinecrest FL PD, Pinellas County FL SO, Pinellas Park FL PD, Plant City FL PD, Polk County FL SO, Port Orange FL PD, Port Richey FL PD, Port Saint Joe FL PD, Port St. Lucie FL PD, Putnam County FL SO, Quincy FL PD, Riviera Beach FL PD, Rockledge FL PD, Sanibel FL PD, Santa Rosa County FL SO, Sarasota County FL SO, Sarasota FL PD, Sebastian FL PD, Seminole County FL SO, Shalimar FL PD, Sneads FL PD, South Daytona FL PD, Springfield FL PD, St. Johns County FL SO, St. Lucie County FL SO, St. Petersburg FL PD, Stuart FL PD, Sumter County FL SO, Tallahassee FL PD, Tarpon Springs FL PD, Titusville FL PD, TN ROCIC, Treasure Island FL PD, Union County FL SO, University of Central Florida PD, University of Florida - FL PD, University of South Florida FL PD, Valparaiso FL PD, Venice FL PD, Vero Beach FL PD, Village of Palm Springs FL PD, Volusia County FL SO, Walton County FL SO, Washington County FL SO, West Melbourne FL PD, West Miami FL PD, West Palm Beach FL PD, Wilton Manors FL PD, Winter Park FL PD, Winter Springs FL PD","NCIC, FCIC, NCMEC Amber Alert, FBI National Hotlist",7651,10,11,1
3407,Elgin SC PD,2024-04-26T12:20:30Z,2024-04-26T17:28:32Z,https://transparency.flocksafety.com/elgin-sc-pd,30 days,2,"Anderson SC PD, Barnwell SC PD, Belmont NC PD, Bishopville SC PD, Chatham County GA PD, Chester County SC SO, Claflin University SC PD, Clemson University SC PD, Columbia County GA SO, Davie County NC SO, DeKalb County GA PD, Elizabethton TN PD, Florence County SC SO, Florence SC PD, Folly Beach SC PD, Gainesville GA PD, Gaston County NC PD, Georgetown County SC SO, Georgetown SC PD, Greenville County SC SO, Greenville SC PD, Greenwood County SC SO, Greer SC PD, Hardeeville SC PD, Horry County SC PD, Houston TX PD, Huntersville PD NC, Iredell County NC SO, Irmo SC PD, Jefferson County MO SO, Kershaw County SC SO, Kings Mountain NC PD, Lancaster County SC SO , Laurens County SC SO, Laurens SC PD, Lexington SC PD, Loris SC PD, Mint Hill NC PD, Moncks Corner SC PD, North Myrtle Beach SC PD, Orangeburg Department of Public Safety SC, Pickens County SC SO, Polkton NC PD, Public Service Authority, Santee Cooper Law Enforcement Division (SC), Pulaski County VA SO, Pulaski VA PD, Richland County SC SO, Richmond Hill GA PD, Rock Hill SC PD, Sauk Prairie WI PD, Scarborough ME PD, Seneca SC PD, SLED - South Carolina Law Enforcement Division, Spartanburg County SC SO, Spartanburg SC PD, Sumter County SC SO, Surfside Beach SC PD, Suwanee GA PD, Union County NC SO, University of North Carolina Charlotte (NC), University of North Georgia PD (GA), Winthrop University SC PD, Wythe County VA SO, York County SC SO","NCIC, NCMEC Amber Alert",65466,6,15,1
3424,Sheffield Village OH PD,2024-04-26T10:37:22Z,2024-04-26T17:28:34Z,https://transparency.flocksafety.com/sheffield-village-oh-pd,30 days,8,"Adrian MI PD, Akron OH PD, Altoona IA PD, Amberley Village OH PD, Amherst OH PD, Ashland County OH SO, Aurora OH PD , Avon Lake OH PD, Bainbridge Township OH PD, Bath Township OH PD, Bay Village OH PD, Bellbrook OH PD , Bellville OH PD, Belpre OH PD, Blue Ash OH PD, Bratenahl OH PD, Brecksville OH PD, Broadview Heights OH PD, Brooklyn OH PD, Brunswick OH PD, Butler County OH SO, Butler Township OH PD, Chesapeake VA PD , Cleveland OH Division of Police , Cleveland State University OH PD, Cortland OH PD, Cuyahoga Falls OH PD, Cuyahoga Heights OH PD, Delaware County OH SO, Delhi Twp OH PD, Dublin OH PD, Eastlake OH PD, Evendale OH PD, Fairfield OH PD, Fairfield Township OH PD, Fairview Park OH PD, Forest Park OH PD, Gallia County OH SO, Garfield Heights OH PD, Geauga County OH SO , German Township OH PD, Glenwillow OH PD, Grant County IN SO, Groveport OH PD, Hamilton County OH SO, Hamilton OH PD, Harrison OH PD, Heath OH PD, Hebron OH PD, Henry County IN SO, Highland Heights OH PD, Hilliard OH PD, Hinckley OH PD, Holland OH PD, Houston TX PD, Hubbard OH PD, Huber Heights OH PD, Huron OH PD, Indian Hill OH PD, Kent OH PD, Lake County OH SO, Lakewood OH PD, Liberty Township OH PD, Licking County OH SO, Lodi OH PD, London OH PD, Lorain OH PD, Louisville OH PD, Lucas County OH SO, Lyndhurst OH PD, Macedonia OH PD, Madeira OH PD, Mahoning County OH SO, Mahoning Valley Law Enforcement TF (OH), Marion County OH SO, Marion OH PD, Marysville OH PD, Medina County OH SO, Medina OH PD , Medina Township OH PD, Mercer County OH SO, Middleburg Heights OH PD, Montgomery County OH SO, Montville Township OH PD, Moraine OH PD, Mount Vernon OH PD, New Bremen OH PD, New Lexington OH PD, New York State Police NY, Newburgh Heights OH PD , North Ridgeville OH PD, North Royalton OH PD, Northeast Ohio Regional Fusion Center, Norwood OH PD, Oakwood Village OH PD (Cuyahoga), Obetz OH PD, Ohio Attorney General's Office - OOCIC, Ohio Bureau of Criminal Investigation, Ohio Bureau of Workers' Compensation (LE), Ohio Drug TF (HIDTA / Moreland Hills OH PD), Ohio State Highway Patrol, Parma Heights OH PD, Perkins Township OH PD, Perrysburg OH PD, Perrysburg Twp OH PD, Port Clinton OH PD, Portage MI PD, Powell OH PD, Preble County OH SO, Reading OH PD, Richfield OH PD, Richland County OH SO, Richmond Heights OH PD, Rocky River OH PD, Rossford OH PD, Seville OH PD, Shaker Heights OH PD, Shelby OH PD, Sidney OH PD, South Euclid OH PD, Springdale OH PD, Springfield OH PD, Springfield Township OH (Hamilton Co) PD, Sterling Heights MI PD, Streetsboro OH PD , Summit Metro Parks PD, Sylvania Township OH PD, Tipp City OH PD, Toledo OH PD, Tuscarawas County OH SO, Twinsburg OH PD, Union Township OH PD, University Circle OH PD, Upper Arlington OH PD, US Postal Inspection Service, Vandalia OH PD, Wabash County IN SO, Wabash IN PD, Wadsworth OH PD, Warren County OH SO, Warren OH PD, West Carrollton OH PD, West Chester OH PD, Westerville OH PD, Westlake OH PD, Whitehall OH PD, Willoughby OH PD, Windham OH PD, Wyandot County OH SO, Wyoming OH PD","NCIC, NCMEC Amber Alert",216055,632,40,0
3432,Highland Park MI PD,2024-04-26T11:47:36Z,2024-04-26T17:28:36Z,https://transparency.flocksafety.com/highland-park-mi-pd,30 days,14,NA,"NCIC, NCMEC Amber Alert, FBI National Hotlist",117051,61,48,0
3436,Napoleon Twp MI PD,2024-04-26T10:00:13Z,2024-04-26T17:28:37Z,https://transparency.flocksafety.com/napoleon-twp-mi-pd,30 days,NA,NA,NA,NA,NA,NA,0
3536,Lander University SC PD,2024-04-26T12:39:34Z,2024-04-26T17:28:39Z,https://transparency.flocksafety.com/lander-university-sc-pd,30 days,8,"Alabama Department of Revenue, Anderson County SC SO, Anderson SC PD, Athens-Clarke County GA PD, Barnwell SC PD, Beaufort County SC SO, Briarcliffe Acres SC PD, Camden SC PD, Catawba Nation Tribal SC PD , Charleston County SC SO, Charleston SC PD, Cheraw SC PD, Cherokee County GA SO, Chester County SC SO, Claflin University SC PD, Clayton County GA PD, Clemson SC PD, Clemson University SC PD, Colorado Springs CO PD, Columbia County DA's Office GA, Columbia County GA SO, Conway SC PD, Davie County NC SO, DeKalb County GA PD, Easley SC PD, Elgin SC PD, Elloree SC PD, Estill SC PD, Florence County SC SO, Florence SC PD, Folly Beach SC PD, Fort Mill SC PD, Fountain Inn SC PD, Furman University SC PD, Gainesville GA PD, Georgetown County SC SO, Georgetown SC PD, Greenville County SC SO, Greenville SC PD, Greenwood County SC SO, Greenwood SC PD, Greer SC PD, Gulf Stream FL PD, Hardeeville SC PD, Horry County SC PD, Houston TX PD, Huntersville PD NC, Irmo SC PD, Isle of Palms SC PD, Jasper County SC SO, Kershaw County SC SO, Lancaster County SC SO , Laurens County SC SO, Laurens SC PD, Lexington SC PD, Loris SC PD, Mauldin SC PD, Montezuma GA PD, Mount Pleasant SC PD, New Ellenton SC PD, North Augusta SC PD, Oconee County SC SO, Orangeburg Department of Public Safety SC, Pelion SC PD, Pendleton  SC PD, Pickens County SC SO, Presbyterian College SC PD, Public Service Authority, Santee Cooper Law Enforcement Division (SC), Richland County SC SO, Richmond Hill GA PD, Rock Hill SC PD, Salley SC PD , SC - College of Charleston Department of Public Safety, SCDPS SC PD, Seneca SC PD, Simpsonville SC PD, SLED - South Carolina Law Enforcement Division, Spartanburg County SC SO, Spartanburg SC PD, Sumter County SC SO, Sumter SC PD, Surfside Beach SC PD, Suwanee GA PD, Tega Cay SC PD, Town of Connelly Springs/Burke Co Sheriff's Office (BCSO) NC, Travelers Rest SC PD, Walhalla SC PD, Wellford SC PD, West Pelzer SC PD, West Union PD SC, Westminster SC PD , Williamston SC PD, Winthrop University SC PD, York County SC SO","NCIC, NCMEC Amber Alert",12728,0,29,1
3547,Cayuga Heights Village NY PD,2024-04-26T12:56:39Z,2024-04-26T17:28:41Z,https://transparency.flocksafety.com/cayuga-heights-village-ny-pd,30 days,1,NA,"NCIC, NCMEC Amber Alert, NY Spin, NY Suspended Tags",0,0,NA,0
3569,Jackson MI PD,2024-04-26T09:08:31Z,2024-04-26T17:28:43Z,https://transparency.flocksafety.com/jackson-mi-pd,30 days,10,NA,NA,NA,307,NA,0
3627,Ferndale MI PD,2024-04-26T14:33:45Z,2024-04-26T17:28:44Z,https://transparency.flocksafety.com/ferndale-mi-pd,NA,16,NA,NA,465622,0,NA,0
