id,agency,updated,accessed,url,data_retention_in_days,number_of_owned_cameras,external_organizations_with_access,hotlists_alerted_on,vehicles_detected_in_the_last_30_days,hotlist_hits_in_the_last_30_days,searches_in_the_last_30_days,public_search_audit
1454,Lawton OK PD,2024-04-26T14:25:45Z,2024-04-26T17:25:49Z,https://transparency.flocksafety.com/lawton-ok-pd,30 days,13,NA,"NCIC, NCMEC Amber Alert",120991,282,NA,0
1062,Green Bay WI PD,2024-04-26T14:29:10Z,2024-04-26T17:25:50Z,https://transparency.flocksafety.com/green-bay-wi-pd,30 days,43,"Allen Park PD MI, Altoona WI PD, Antigo WI PD, Appleton WI PD, Arlington Heights IL PD , Ashwaubenon WI PD, Avon IN PD, Baraboo WI PD, Barron County WI SO, Barron WI PD, Bartlett IL PD, Bayfield County WI SO, Beaver Dam WI PD, Belleville WI PD, Belmont WI PD, Berkeley IL PD, Berrien County MI SO, Brillion WI PD, Brookfield WI PD, Brown County WI Public Safety, Brown County WI SO, Brown Deer WI PD, Buffalo County WI SO, Burlington WI PD, Burr Ridge IL PD, Caledonia WI PD, Calumet County WI SO, Calumet Park IL PD, Carol Stream IL PD, Cedarburg WI PD, Chenequa WI PD, Chippewa County WI SO, Chippewa Falls WI PD, Clark County WI SO, Clear Lake WI PD, Clintonville WI PD, Columbia County WI SO, Columbus WI PD, Cottage Grove WI PD, Crawford County WI SO, Crystal Lake IL PD, Cudahy WI PD, Cumberland WI PD, Dane County WI SO, De Pere WI PD, Deerfield IL PD, Deforest WI PD, Delafield WI PD, Dickeyville WI PD, Dodge County WI SO, Dodgeville WI PD, Dunn County WI SO, DuPage Co IL Prosecutor Office, Eau Claire County WI SO, Elkhorn WI PD, Elm Grove WI PD, ElRoy WI PD, Evanston IL PD, Everest Metro WI PD, FBI, Fitchburg WI PD, Fond du Lac County WI SO, Fond Du Lac WI PD, Forest County WI SO, Fox Valley Metro WI PD, Franklin WI PD, Genoa City WI PD, Germantown WI PD, Glencoe IL PD, Glendale Heights IL PD, Glendale WI PD, Glenview IL PD, Gogebic County MI SO, Grafton WI PD, Grand Chute WI PD, Grant County WI SO, Green Bay WI PD, Green Lake County WI SO, Greendale WI PD, Greenfield WI PD, Grundy County IL SO, Gurnee IL PD, Hanover Park IL PD , Hartford WI PD, Hartland Wisconsin WI PD, Harvey IL PD, Hinsdale IL PD, Hobart-Lawrence WI PD, Holmen WI PD, Houston TX PD, Hudson WI PD, Iowa County WI SO, Jackson WI PD, Janesville WI PD, Juneau County WI SO, Justice IL PD, Kaukauna WI PD, Kenosha County WI SO, Kenosha WI PD, Kershaw County SC SO, Kohler WI PD, La Crosse Co WI SO, La Crosse WI PD, La Grange Park IL PD, Lafayette County WI SO, Lake County IL SO , Lake Delton WI PD, Langlade County WI SO, Lemont IL PD, Lincoln County WI SO, Lodi WI PD, Manitowoc WI PD, Maple Bluff WI PD, Marathon County WI SO, Marion WI PD, Marquette County WI SO, Mauston WI PD , Menasha WI PD, Menomonee Falls WI PD, Menomonie WI PD, Mequon WI PD, Middleton WI PD, Midlothian IL PD, Milwaukee County WI DA's Office, Milwaukee County WI SO, Milwaukee WI PD - STAC, Minocqua WI PD, MOCIC , Monona WI PD, Monroe County WI SO, Monticello WI PD, Morton Grove IL PD, Mount Pleasant WI PD, Mount Prospect IL PD, Mount Vernon IN PD, Muskego WI PD, Neenah WI PD, Nekoosa WI PD, New Berlin WI PD, New Lisbon WI PD, New London WI PD, New Richmond WI PD, Normal IL PD , North Fond Du Lac WI PD , North Hudson WI PD, Northbrook IL PD, Northfield IL PD, Oak Creek WI PD, Oconomowoc WI PD, Oconto Co WI SO, Onalaska WI PD, Oneida County WI SO, Oneida WI PD, Osceola WI PD, Oshkosh WI PD, Outagamie County DA's Office WI, Outagamie County WI SO, Ozaukee County WI SO, Palos Heights IL PD, Phillips WI PD, Pierce Co WI SO, Plainfield IL PD, Platteville WI PD, Pleasant Prairie WI PD, Plover WI PD, Plymouth WI PD, Polk County WI SO, Port Washington WI PD, Portage County WI SO, Portage MI PD, Portage WI PD, Poynette WI PD, Prairie Du Chien WI PD, Prospect Heights IL PD, Racine County WI Communications Center, Racine County WI SO, Racine WI PD, Reedsburg WI PD, Rhinelander WI PD, Rice Lake WI PD, Richland Center WI PD, Richland County WI SO, RIG WI DTF, River Grove IL PD , River Hills WI PD, Riverside IL PD , Rock County WI SO, Rolling Meadows IL PD, Romeoville IL PD, Rosendale WI PD, Saint Croix Falls WI PD, Saint Francis WI PD, Sauk County WI SO, Sauk Prairie WI PD, Saukville WI PD, Shawano County WI SO, Shawano WI PD, Sheboygan County WI SO, Sheboygan WI PD, Shorewood WI PD, Slinger WI PD, South Milwaukee WI PD, Sparta WI PD, St. Charles IL PD, St. Croix County WI SO, Stevens Point WI PD, Stoughton WI PD, Streamwood IL PD, Sturgeon Bay WI PD, Sturtevant WI PD, Sun Prairie WI PD, Theresa WI PD, Thiensville WI PD, Town of Campbell WI PD, Trempealeau WI PD, Twin Lakes WI PD, University of Illinois - Chicago IL PD, University of Wisconsin - Green Bay WI PD, University of Wisconsin - Madison WI PD, University of Wisconsin - Milwaukee WI PD, University of Wisconsin - Oshkosh PD, Vernon County WI SO, Verona WI PD, Vilas County WI SO, Villa Park IL PD, Village of Bayside WI PD, Village of Fox Crossing WI PD, Village of Fox Point WI PD, Village of Pewaukee WI PD, Village of Turtle Lake WI PD, Walworth County WI SO, Warrenville IL PD, Washington County WI SO, Watertown WI PD, Waukesha County WI Communications Center , Waukesha County WI SO, Waukesha WI PD, Waunakee WI PD, Waupaca County WI SO, Waupaca WI PD, Waupun WI PD, Wausau WI PD, Wauwatosa WI PD, West Allis WI PD, West Bend WI PD, West Milwaukee WI PD, West Salem WI PD, Westchester IL PD, Weyauwega WI PD, Whitefish Bay WI PD, Whitewater WI PD, WI Department of Justice, Wilmette IL PD , Winnebago County WI SO, Winneconne WI PD, Wisconsin Dells WI PD, Wisconsin Rapids WI PD, Wood County WI SO, Wood Dale IL PD, Woodstock IL PD, Wrightstown WI PD","NCIC, NCMEC Amber Alert, Wisconsin DOJ",432124,2795,654,0
2208,Rockport TX PD,2024-04-26T14:09:44Z,2024-04-26T17:25:52Z,https://transparency.flocksafety.com/rockport-tx-pd-,30 days,6,"Aldine ISD PD TX , Altoona IA PD, Alvarado TX PD , Alvin TX PD, Amarillo TX PD, Angleton PD TX, Anna TX PD, Aransas Pass TX PD, Aubrey TX PD, Austin TX PD, Balch Springs TX PD , Bastrop TX PD , Baytown TX PD, Beaumont TX PD, Burleson TX PD, Burnet County TX SO, Cameron County TX SO, Canadian County OK SO, Canton TX PD, Cedar Park TX PD, Chambers County TX SO, Coastal Bend College Campus PD , Corinth City Marshal, Crowley TX PD, Cypress Fairbanks ISD (TX) PD, Dallas TX PD, Diboll TX PD, Duncanville TX PD, East Tawakoni TX PD, Fort Bend County TX District Attorney's Office, Fort Worth TX PD , Friendswood TX PD, Frisco TX PD, Galena Park ISD TX PD, Granbury TX PD, Grapevine TX PD, Guadalupe County Constable TX Pct 3, Harris County Const TX Pct 4, Harris County TX District Attorney's Office, Harris County TX SO, Hays County TX SO, Hitchcock TX PD, Houston Arson Bureau TX, Houston Metro Transit Authority (TX), Houston TX PD, Huffman ISD TX PD, Humble ISD PD TX , Hutto TX PD, Jersey Village TX PD, Kyle TX PD, La Marque TX PD, La Porte TX PD, Lamar County TX SO, League City TX PD, Lindale TX PD, Little Elm TX PD , Livingston TX PD, Lubbock County TX SO , Lufkin TX PD, Magnolia PD TX , Mansfield TX PD, Melissa TX PD, Miami Township OH PD (Clermont), Midland County Hospital District PD TX , Midland County TX DA, Midland TX PD, Missouri City TX PD, Mont Belvieu TX PD , Montgomery County Constable, Precinct 3 (TX), Paris TX PD, Pearland TX PD , Pflugerville TX PD, Plano TX PD, Port Aransas TX PD, River Oaks TX PD, Robeson County NC SO, Rockwall County TX SO, Round Rock TX PD, Sachse TX PD, San Marcos TX PD, Sansom Park TX PD, Seabrook TX PD, Snyder TX PD, Splendora TX PD, St. Edward's University (TX), Sunset Valley TX PD, Tarleton State University TX PD , Tarrant Regional Water District TX PD, Temple TX PD, Terrell TX PD , Texas Department of Public Safety, Texas Financial Crimes Intelligence Center, Thrall City PD TX, Travis County TX SO, TX Board of Criminal Justice - Inspector General, Tyler Junior College Campus PD TX , Union Pacific Railroad PD, Univ. of TX - Arlington PD, University of Houston TX PD, University of Texas Permian Basin PD, Vandalia OH PD, Webster TX PD, West Tawakoni TX PD , Westover Hills TX PD, Wichita Falls TX PD , Wilson County TX SO","NCIC, NCMEC Amber Alert",119311,143,23,0
3480,Warrick County IN SO,2024-04-26T14:17:59Z,2024-04-26T17:25:54Z,https://transparency.flocksafety.com/warrick-co-in-so,30 days,12,"Alexandria IN PD, Anchorage KY PD, Anderson PD IN, ATF Nashville TN, Audubon Park KY PD, Avon IN PD, Ball State University IN PD, Bancroft KY PD, Bardstown PD KY, Bargersville IN PD, Bartholomew County IN SO, Beech Grove IN PD, Bluffton IN PD, Boone County IN SO, Bremen IN PD, Brown County SO IN, Brownsburg IN PD, Bullitt County KY SO, Burns Harbor IN PD, Carmel IN PD, Center Grove School Police (IN), Chandler IN PD, Charlestown PD IN, Chesterfield PD IN, Chesterton IN PD , Christian County KY SO, Cicero IN PD, City of Hurstbourne (KY), Clark County IN Dispatch, Clark County IN SO, Clark-Pleasant Police Department - IN PD , Clarksville IN PD, Clay County IN SO, Claypool IN PD, Cloverdale IN PD, Columbus IN PD, Community Health PD IN, Connersville IN PD, Crawford County IN SO, Crawfordsville IN PD, Cumberland Metro IN PD, Danville IN PD, Dayton IN PD, Decatur County IN Prosecutor's Office, Decatur County IN SO, Delaware County IN SO, Delphi IN PD, Dubois County IN SO, Dubois County Prosecutor's Office IN, DuComb Center IN, Edgewood IN PD, Edinburgh IN PD, Elizabethtown KY PD, Elkhart County IN SO, Elkhart PD IN, Ellettsville PD IN, Elwood IN PD, Evansville IN PD, Fairmount IN PD, Farina IL PD , Fayette County IN SO, Ferdinand IN PD, Fishers IN PD, Floyd County IN SO, Fort Wayne IN PD , Fortville IN PD, Frankfort IN PD, Franklin IN PD, Fulton County IN SO , Gary IN PD, Georgetown IN PD, Goshen IN PD, Grant County IN SO, Greencastle IN PD, Greenfield IN PD, Greensboro PD IN, Greensburg IN PD, Greenwood IN PD, Hamilton County IN SO, Hamilton County OH SO, Hancock County IN SO, Hanover IN PD, Hardin County KY SO, Harrison County IN SO, Hebron IN PD, Henderson County KY SO, Henderson KY PD, Hendricks County IN SO, Henry County IN SO, Heritage Creek KY PD, Highland PD IN, Hobart IN PD , Hopkinsville KY PD, Howard County IN SO, Huntingburg IN PD, Huntington IN PD, Indian Hills KY PD, Indiana Department of Corrections, Indiana HIDTA , Indiana State Police IN PD, Indiana University IN PD, Indianapolis International Airport IN PD, Indianapolis Metro PD IN, Ingalls IN PD, Jackson County IN SO, Jamestown PD IN, Jasper County IN SO, Jasper IN PD, Jefferson County KY SO, Jefferson County SO IN, Jeffersontown KY PD, Jeffersonville IN PD, Jennings County IN SO, Johnson County IN SO, Kingsford Heights IN PD, Kokomo IN PD, Kosciusko County IN SO, Kouts IN PD, Lafayette IN PD, LaGrange County SO IN, Lake Station IN PD, Lapel IN PD, Laporte County IN SO , Laporte IN PD, Lawrence County IN SO, Lawrence IN PD, Liberty IN PD, Ligonier IN PD, Linden IN PD, Long Beach IN PD, Louisville Airport PD, Louisville Metro KY Alcoholic Beverage Control , Louisville Metro KY Arson Bureau, Louisville Metro KY PD, Madison County IN SO, Madison IN PD, Madisonville KY PD, Marion County IN SO, Marion IN PD, Marshall County Prosecutors Office IN, McCordsville IN PD, Mentone PD IN, Michigan City IN PD, Middlebury IN PD, Middletown KY PD, Milford PD IN, Mishawaka PD IN, Monon IN PD, Monroe County IN SO, Montezuma IN PD, Montgomery County IN Communications Center, Montgomery County IN SO, Montone PD IN, Mooresville IN PD, Morgan County IN SO, Mount Vernon IN PD, Mt. Washington KY PD, Muncie IN PD, Nappanee IN PD, Nashville IN PD, Nelson County KY SO, New Albany IN PD, New Carlisle IN PD, New Castle IN PD, New Chicago IN PD, Newton County IN SO, Noblesville IN PD, North Vernon IN PD, Oak Grove KY PD, Ogden Dunes IN PD, Oolitic Marshals Office, Orange County FL SO, Owensboro KY PD, Paducah KY PD, Paoli IN PD, Parke County IN SO, Pendleton IN PD, Perry County IN SO, Pierceton PD IN, Pittsboro IN PD, Plainfield IN PD, Plymouth PD IN, Portage IN PD, Porter County IN SO, Porter PD IN, Posey County IN SO, Prospect PD KY, Pulaski County IN SO, Purdue University IN PD, Putnam County IN SO, Radcliff KY PD, Richmond IN PD, Rockport IN PD, Roseland IN PD, Rush County IN SO, Rushville IN PD, Santa Claus IN PD, Scott County IN SO, Sellersburg IN PD, Seymour IN PD , Shelby County IN SO, Shelbyville IN PD , Shepherdsville KY PD, Shively KY PD, Silver Lake PD IN, Solon OH PD, South Bend IN Airport Transit PD , South Bend IN PD, Speedway IN PD, Spencer County IN SO, St. Joseph County SO IN, St. Matthews KY PD, Sullivan County IN SO, Summitville IN PD , Syracuse IN PD, Tell City IN PD, Thorntown IN PD, Tippecanoe County IN SO, Trotwood OH PD, Union City IN PD, University of Indianapolis IN PD , University of Notre Dame PD (IN), Valparaiso PD IN, Vanderburgh County IN SO , Vanderburgh County Prosecutors Office IN, Vermillion County IN SO, Vigo County IN SO, Vincennes IN PD, Wabash County IN SO, Wabash IN PD, Walkerton IN PD, Warrick County IN SO, Warsaw PD IN, Washington County SO IN, Webster Co KY SO, Wells County IN SO, West Buechel KY PD, West Lafayette IN PD, West Terre Haute IN PD, Westfield IN PD, White County IN SO, Whitestown IN PD, Winona Lake PD - IN, Zionsville IN PD","NCIC, NCMEC Amber Alert, IDACS",193520,15990,211,0
3921,Anoka County MN SO,2024-04-26T14:12:48Z,2024-04-26T17:25:55Z,https://transparency.flocksafety.com/anoka-county-mn-so,30 days,2,"Altoona IA PD, Anoka MN PD, Blaine MN PD, Bloomington IL PD, Boone County AR SO, Branson MO PD, Brookings SD PD, Brown County WI SO, Butler County OH SO, Champlin MN PD, Chillicothe IL PD , Coffeyville KS PD, Coon Rapids MN PD, Crawford County WI SO, Dallas TX PD, Dubuque IA PD, El Cajon CA PD, Fridley MN PD, Gurnee IL PD, Hardin County TN SO, Justice IL PD, Lexington NE PD, Marion AR PD, Marshalltown IA PD, Minnetonka MN PD, MOCIC , Monon IN PD, Mounds View MN PD, Norwood OH PD, Ottawa IL PD, Richmond VA PD, Robbinsdale MN PD, Rock County WI SO, Saint Croix Falls WI PD, Sarasota FL PD, Sauk Prairie WI PD, Springfield MO PD, St. Louis County MN SO, St. Louis Park PD MN, Sterling Heights MI PD, Stevens Point WI PD, Thornton CO PD, Tooele City PD UT, US Postal Inspection Service, Vacaville CA PD, Waukee IA PD, Waukesha WI PD, Wayzata MN PD, West Hennepin MN Public Safety Department, Wichita Falls TX PD , Wyoming OH PD","NCMEC Amber Alert, MN BCA",107175,818,56,1
3954,Johnson County IN SO,2024-04-26T14:11:57Z,2024-04-26T17:25:57Z,https://transparency.flocksafety.com/johnson-county-in-so,30 days,12,NA,"NCIC, NCMEC Amber Alert, IDACS",245249,15811,340,0
3965,Shelby County IN SO,2024-04-26T14:18:57Z,2024-04-26T17:25:59Z,https://transparency.flocksafety.com/shelby-county-in-so,30 days,6,NA,"NCIC, NCMEC Amber Alert, IDACS",75626,4402,22,0
4222,Powell OH PD,2024-04-26T14:30:46Z,2024-04-26T17:26:00Z,https://transparency.flocksafety.com/powell-oh-pd,30 days,0,Wadsworth OH PD,"NCIC, NCMEC Amber Alert",0,0,21,1
966,Fuquay-Varina NC PD,2024-04-26T12:37:37Z,2024-04-26T17:26:02Z,https://transparency.flocksafety.com/nc-fuquay-varina-pd,30 days,11,NA,"NCIC, NCMEC Amber Alert",244195,193,157,0
1117,Hamlet NC PD,2024-04-26T09:22:10Z,2024-04-26T17:26:04Z,https://transparency.flocksafety.com/hamlet-pd-,30 days,2,Yancey County NC SO,NCMEC Amber Alert,4212,0,8,1
