agency_id,url_attempted,last_attempt_date,status_code,notes
1947,https://transparency.flocksafety.com/ontario-ca-pd,NA,404,NA
1953,https://transparency.flocksafety.com/orange-county-ca-auto-theft-task-force,NA,404,NA
1979,https://transparency.flocksafety.com/oxnard-ca-pd-,NA,404,NA
2009,https://transparency.flocksafety.com/pasadena-ca-pd,NA,404,NA
2064,https://transparency.flocksafety.com/pinole-ca-pd,NA,404,NA
2068,https://transparency.flocksafety.com/placentia-ca-pd,NA,404,NA
2078,https://transparency.flocksafety.com/pleasanton-ca-pd,NA,404,NA
2088,https://transparency.flocksafety.com/pomona-ca-pd,NA,404,NA
2106,https://transparency.flocksafety.com/porterville-ca-pd,NA,404,NA
2145,https://transparency.flocksafety.com/rcatf-ca-pd,NA,404,NA
2148,https://transparency.flocksafety.com/redlands-ca-pd,NA,404,NA
2150,https://transparency.flocksafety.com/reedley-ca-pd,NA,404,NA
2183,https://transparency.flocksafety.com/riverside-county-ca-sd,NA,404,NA
2207,https://transparency.flocksafety.com/rocklin-ca-pd,NA,404,NA
2223,https://transparency.flocksafety.com/roseville-ca-pd,NA,404,NA
2236,https://transparency.flocksafety.com/sacramento-ca-pd,NA,404,NA
2237,https://transparency.flocksafety.com/sacramento-da-ca,NA,404,NA
2247,https://transparency.flocksafety.com/salinas-pd-ca,NA,404,NA
2251,https://transparency.flocksafety.com/san-bernardino-ca-pd,NA,404,NA
2252,https://transparency.flocksafety.com/san-bernardino-county-ca-so,NA,404,NA
2253,https://transparency.flocksafety.com/san-bruno-ca-pd,NA,404,NA
2254,https://transparency.flocksafety.com/san-diego-county-ca-sd,NA,404,NA
2255,https://transparency.flocksafety.com/san-gabriel-ca-pd,NA,404,NA
2262,https://transparency.flocksafety.com/san-luis-obispo-ca-pd-,NA,404,NA
2263,https://transparency.flocksafety.com/san-luis-obispo-county-ca-sheriff-,NA,404,NA
2268,https://transparency.flocksafety.com/san-pablo-ca-pd-,NA,404,NA
2270,https://transparency.flocksafety.com/san-ramon-ca-pd,NA,404,NA
2274,https://transparency.flocksafety.com/santa-barbara-county-ca-so,NA,404,NA
2280,https://transparency.flocksafety.com/santa-maria-ca-pd,NA,404,NA
2282,https://transparency.flocksafety.com/santa-rosa-ca-pd,NA,404,NA
2290,https://transparency.flocksafety.com/sausalito-ca-pd,NA,404,NA
2301,https://transparency.flocksafety.com/seal-beach-ca-pd-,NA,404,NA
2352,https://transparency.flocksafety.com/solano-county-ca-so,NA,404,NA
2353,https://transparency.flocksafety.com/solano-county-da-ca,NA,404,NA
2354,https://transparency.flocksafety.com/solano-county-special-investigations-bureau-,NA,404,NA
2357,https://transparency.flocksafety.com/sonoma-county-ca-so,NA,404,NA
2372,https://transparency.flocksafety.com/south-pasadena-ca-pd,NA,404,NA
2425,https://transparency.flocksafety.com/stockton-ca-pd,NA,404,NA
2439,https://transparency.flocksafety.com/suisun-city-ca-pd-,NA,404,NA
2550,https://transparency.flocksafety.com/ukiah-ca-pd,NA,NA,NA
2551,https://transparency.flocksafety.com/ukiah-fire-ca-fd,NA,404,NA
2595,https://transparency.flocksafety.com/us-postal-inspection-service,NA,404,NA
2596,https://transparency.flocksafety.com/usms,NA,404,NA
2611,https://transparency.flocksafety.com/ventura-ca-pd,NA,404,NA
2612,https://transparency.flocksafety.com/ventura-county-ca-so,NA,404,NA
